moves,winners
3m4e11m3l4d8i7h5f5e3d11c8f6g7e12k7k6l4c1e9g9i2l13j13l8l6c5b7a4h5j4k4j2c5d9a4f12c12l3e4b1c9b10d3h6i3i5i6d5c2e11e12j6a11f12e10f13a7b10g6e7m9j9h4i5g5h6h6k10l11l11k2k3c4g9f8h8d8j9m7l2i2h2j3k7d1l6m5a2a1a2f1f2b10e9e12a12d1g7f2g1h2m,white
3m4e11m3l4d8i7h5f5e3d11c8f6g7e12k7k6l4c1e9g9i2l13j13l8l6c5b7a4h5j4k4j2c5d9a4f12c12l3e4b1c9b10d3h6i3i5i6d5c2e11e12j6a11f12e10f13a7b10g6e7m9j9h4i5g5h6h6k10l11l11k2k3c4g9f8h8d8j9m7l7d5a2a1a2i2h6m1g2j3k8a1l9e8b6j9l3g2g2b1f1h7g7f12a8c10a13b12d12b10e10h8e6b7c3f2m,white
8m3l5d7a2k3i12l11l2i1j5m7i9e8l11d11c12b7f7g4d12e5e5a9d5h2l4g3g3h2h5i6f8e1d2c9g10d10c10f7d2d1l7h7j6i2a3b13l11m10m5c4h3m4e9f9k8g6m12c6e13a12j12k5l11e5b7l4l6l4m13c7k9m9c8c6d11b2j4j4i1i4f1g1f3j3f1e1k5k5g6g7e8h8f8d12m3d1h1b13d2m10b5f1m11a8b6c6a8k8i6j3e9h10g8j2f10k11h10j12g7c11j9i13i13j13k11k2g9l13m13e4b6b1c10h10i11g10e9j10l12f11f13f13g4c,black
8m3l5d7a2k3i12l11l2i1j5m7i9e8l11d11c12b7f7g4d12e5e5a9d5h2l4g3g3h2h5i6f8e1d2c9g10d10c10f7d2d1l7h7j6i2a3b13l11m10m5c4h3m4e9f9k8g6m12c6e13a12j12k5l11e5b7l4l6l4m13c7k9m9c8c6d11b2j4j4i1i4f1g1f3j3f1e1k5k5g6g7e8h8f8d12m3d1h1b13d2m10b5f1m11a8b6c6a8k8i6j3e9h10g8j2f10k11h10j12g7c11j9i13i13j13k11k2g9l13m13e4b6b1c10h10i11g10e9j10l12f11f13f13g4c,black
8m3l5d7a2k3i12l11l2i1j5m7i9e8l11d11c12b7f7g4d12e5e5a9d5h2l4g3g3h2h5i6f8e1d2c9g10d10c10f7d2d1l7h7j6i2a3b13l11m10m5c4h3m4e9f9k8g6m12c6e13a12j12k5l11e5b7l4l6l4m13c7k9m9c8c6d11b2j4j4i1i4f1g1f3j3f1e1k5k5g6g7e8h8f8d12m3d1h1b13d2m10b5f1m11a8b6c6a8k8i6j3e9h10g8j2f10k11h10j12g7c11j9i13i13j13k11k2g9l13m13e4b6b1c10h10i11g10e9j10l12f11f13f13g4c,black
8m3l5d7a2k3i12l11l2i1j5m7i9e8l11d11c12b7f7g4d12e5e5a9d5h2l4g3g3h2h5i6f8e1d2c9g10d10c10f7d2d1l7h7j6i2a3b13l11m10m5c4h3m4e9f9k8g6m12c6e13a12j12k5l11e5b7l4l6l4m13c7k9m9c8c6d11b2j4j4i1i4f1g1f3j3f1e1k5k5g6g7e8h8f8d12m3d1h1b13d2m10b5f1m11a8b6c6a8k8i6j3e9h10g8j2f10k11h10j12g7c11j9i13i13j13k11k2g9l13m13e4b6b1c10h10i11g10e9j10l12f11f13f13g4c,black
8m3l5d7a2k3i12l11l2i1j5m7i9e8l11d11c12b7f7g4d12e5e5a9d5h2l4g3g3h2h5i6f8e1d2c9g10d10c10f7d2d1l7h7j6i2a3b13l11m10m5c4h3m4e9f9k8g6m12c6e13a12j12k5l11e5b7l4l6l4m13c7k9m9c8c6d11b2j4j4i1i4f1g1f3j3f1e1k5k5g6g7e8h8f8d12m3d1h1b13d2m10b5f1m11a8b6c6a8k8i6j3e9h10g8j2f10k11h10j12g7c11j9i13i13j13k11k2g9l13m13e4b6b1c10h10i11g10e9j10l12f11f13f13g4c,black
3g4e4h10i2j3d4f6h11h4k4c5c2l3c8f7f7e8e3i11j9f5j10e4b7j6a1g3j3f5e4d5f3k3l12i3e10g2d4j9g12d6g9b6d7h9a1a2b6f7g8g7i11a9c12b10a4m5k12l12k6i1f5i6l6e4i2g8i10h13l12m10b7m8k12e8d1h5h5l9j6b5b7a6c10j2c4a7c8b6j6k4g5g4l5d1d2f9h3m8j9k2k1i2h3h1e13m12g13k10f13e13h11i13f3b12h12j11l1c1b9e13a12a12c10c13b11c11d11f6m11m10k13d13c1k13i8c8a3a5a8h10l7b10m7d13j11k11b5m10d9d13g12f11e9m2m,white
3g4e4h10i2j3d4f6h11h4k4c5c2l3c8f7f7e8e3i11j9f5j10e4b7j6a1g3j3f5e4d5f3k3l12i3e10g2d4j9g12d6g9b6d7h9a1a2b8d7g11a10a1i9d8g7i7m7l6l7k12b6k1e8i7a9h6f8j6e5g9k6c3m5b5d10b8m4m10c7d13d10h1b12g1m8a2k11f11g13f5l1c12f10f5h6j12e3b4g3a5m13e13m13l12l10l11m12k12m11i5i11k8k3h11e9c12j9m5a2a13k13h8b2m6i,black
3g4e4h10i2j3d4f6h11h4k4c5c2l3c8f7f7e8e3i11j9f5j10e4b7j6a1g3j3f5e4d5f3k3l12i3e10g2d4j9g12d6g9b6d7h9a1a2b11a10a6f8d12k8k12b5g1m6e8g5h2k2m7m6l5l6j5i9i1i6i12a8h4g9c13c10b,white
3g4e4h10i2j3d4f6h11h4k4c5c2l3c8f7f7e8e3i11j9f5j10e4b7j6a1g3j3f5e4d5f3k3l12i3e10g2d4j9g12d6g9b6d7h9a1a2b8d7g11a10a4m4l7a9c6f5g2k6c12k7i12b12g4a8g11g6j1i12j6e1b2m3m5i4i12a8b1e7d3b2c6i13f13l9l13e12l6k10h13b11i12m13j11m11l1c5k9m10j9j7l1k1d6l5b2a8m9i6m5l10k11b10b2i8l11c9d5d13h12h11k9k9h,white
3g4e4h10i2j3d4f6h11h4k4c5c2l3c8f7f7e8e3i11j9f5j10e4b7j6a1g3j3f5e4d5f3k3l12i3e10g2d4j9g12d6g9b6d7h9a1a2b8g9c12b11a1e7i6i7g4m5m5i6l12l12k13c8i12m13l6f6j1i9h10j5g1k1c2k11f3b11g7a12g5b10f10b12a12h3a4a8c9d5l7m8k9i4i13e9j8d10h6e11i13m12f5h8j13k11l4l2c11k10l9k9l8b7c6k6b5a5d3m1d2f2e1h10k1f10a12j11c7k8a1m1l7b1b11m7l11e,black
8m4c4e5g9e3e3m5c4b5h2l4h11d3h12l6h2i10f12e10m3i8h7g12g8g11e9f8e12b10c10d6d6f11j4d2c1c9a4g2f1h1j7h13i1e2b2a13c2d5f10g5e11g10l10h4m2k1i3f7k6m5j3j10j5i2h9i9l7i6g8i7d7f8d8l5m4j9j4k13b1g9h7e13e12f13d7c7b8f10k1b3d9g10i6i3c6c7a13f11l11m13m7m6b6l6k7l9k11h13a8k5k3g2m3l2j13g11f5b12h9m12k11i5l13k13j11k12j1k,black
8m4c4e5g9e3e3m5c4b5h2l4h11d3h12l6h2i10f12e10m3i8h7g12g8g11e9f8e12b10c10d6d6f11j4d2c1c9a4g2f1h1j7h13i1e2b2a13c2d5f10g5e11g10l10h4m2k1i3f7k6m5j3j10j5i2h9i9l7i6g8i7d7f8d8l5m4j9j4k13b1g9h7e13e12f13d7c7b8f10k1b3d9g10i6i3c6c7a13f11l11m13m7m6b6l6k7l9k11h13a8k5k3g2m3l2j13g11f5b12h9m12k11i5l13k13j11k12j1k,black
8m4c4e5g9e3e3m5c4b5h2l4h11d3h12l6h2i10f12e10m3i8h7g12g8g11e9f8e12b10c10d6d6f11j4d2c1c9a4g2f1h1j7h13i1e2b2a13c2d5f10g5e11g10l10h4m2k1i3f7k6m5j3j10j5i2h9i9l7i6g8i7d7f8d8l5m4j9j4k13b1g9h7e13e12f13d7c7b8f10k1b3d9g10i6i3c6c7a13f11l11m13m7m6b6l6k7l9k11h13a8k5k3g2m3l2j13g11f5b12h9m12k11i5l13k13j11k12j1k,black
8m4c4e5g9e3e3m5c4b5h2l4h11d3h12l6h2i10f12e10m3i8h7g12g8g11e9f8e12b10c10d6d6f11j4d2c1c9a4g2f1h1j7h13i1e2b2a13c2d5f10g5e11g10l10h4m2k1i3f7k6m5j3j10j5i2h9i9l7i6g8i7d7f8d8l5m4j9j4k13b1g9h7e13e12f13d7c7b8f10k1b3d9g10i6i3c6c7a13f11l11m13m7m6b6l6k7l9k11h13a8k5k3g2m3l2j13g11f5b12h9m12k11i5l13k13j11k12j1k,black
8m4c4e5g9e3e3m5c4b5h2l4h11d3h12l6h2i10f12e10m3i8h7g12g8g11e9f8e12b10c10d6d6f11j4d2c1c9a4g2f1h1j7h13i1e2b2a13c2d5f10g5e11g10l10h4m2k1i3f7k6m5j3j10j5i2h9i9l7i6g8i7d7f8d8l5m4j9j4k13b1g9h7e13e12f13d7c7b8f10k1b3d9g10i6i3c6c7a13f11l11m13m7m6b6l6k7l9k11h13a8k5k3g2m3l2j13g11f5b12h9m12k11i5l13k13j11k12j1k,black
8m4e6l13k6j5j10k4l9k3l10d10f8e8f13c11d10h12c3k4j4i5i8c9f9d2m11c13j9a9c7c13a12i6h5b6k7h5h6g3d7j1f9m3g4m11k12l7d2h3h2e2d4c6d1l5l1g7k3e5g8g7m7e5m10b9b10a4d2b2c8a1b3c2i4f1h1j7b13e1e12f12k3f5e9g6i7l2g8h7i6e8d9h4k7f12m9i8j13h12h13f4h1c5c10m10i3i6c2a3b5k3m2j5f1a6b2k9l11h13m11j13d12j10l11m8i13l3j1i2l8k1d12a3a,white
8m4e6l13k6j5j10k4l9k3l10d10f8e8f13c11d10h12c3k4j4i5i8c9f9d2m11c13j9a9c7c13a12i6h5b6k7h5h6g3d7j1f9m3g4m11k12l7d2h3h2e2d4c6d1l5l1g7k3e5g8g7m7e5m10b9b10a4d2b2c8a1b3c2i4f1h1j7b13e1e12f12k3f5e9g6i7l2g8h7i6e8d9h4k7f12m9i8j13h12h13f4h1c5c10m10i3i6c2a3b5k3m2j5f1a6b2k9l11h13m11j13d12j10l11m8i13l3j1i2l8k1d12a3a,white
8m4e6l13k6j5j10k4l9k3l10d10f8e8f13c11d10h12c3k4j4i5i8c9f9d2m11c13j9a9c7c13a12i6h5b6k7h5h6g3d7j1f9m3g4m11k12l7d2h3h2e2d4c6d1l5l1g7k3e5g8g7m7e5m10b9b10a4d2b2c8a1b3c2i4f1h1j7b13e1e12f12k3f5e9g6i7l2g8h7i6e8d9h4k7f12m9i8j13h12h13f4h1c5c10m10i3i6c2a3b5k3m2j5f1a6b2k9l11h13m11j13d12j10l11m8i13l3j1i2l8k1d12a3a,white
8m4e6l13k6j5j10k4l9k3l10d10f8e8f13c11d10h12c3k4j4i5i8c9f9d2m11c13j9a9c7c13a12i6h5b6k7h5h6g3d7j1f9m3g4m11k12l7d2h3h2e2d4c6d1l5l1g7k3e5g8g7m7e5m10b9b10a4d2b2c8a1b3c2i4f1h1j7b13e1e12f12k3f5e9g6i7l2g8h7i6e8d9h4k7f12m9i8j13h12h13f4h1c5c10m10i3i6c2a3b5k3m2j5f1a6b2k9l11h13m11j13d12j10l11m8i13l3j1i2l8k1d12a3a,white
8m4e6l13k6j5j10k4l9k3l10d10f8e8f13c11d10h12c3k4j4i5i8c9f9d2m11c13j9a9c7c13a12i6h5b6k7h5h6g3d7j1f9m3g4m11k12l7d2h3h2e2d4c6d1l5l1g7k3e5g8g7m7e5m10b9b10a4d2b2c8a1b3c2i4f1h1j7b13e1e12f12k3f5e9g6i7l2g8h7i6e8d9h4k7f12m9i8j13h12h13f4h1c5c10m10i3i6c2a3b5k3m2j5f1a6b2k9l11h13m11j13d12j10l11m8i13l3j1i2l8k1d12a3a,white
12l6h5m6c4c8f4i9c10e13l8m5l3m3l2j13k9d10c7g8e12b5g11d12c6g10d4l2m9e4e2k6d6f4j5i7e11c11b12d12k10f9f3h7d2h1b2a3d2c10g2g3i7h10m12e4a13e11f9g9h1d2e8h10h1f1e3j8g6i6j11h3c4h4f13j1g3f2i12a2d4d12m2b3b1j,black
12l6h5m6c4c8f4i9c10e13l8m5l3m3l2j13k9d10c7g8e12b5g11d12c6g10d4l2m9e4e2k6d6f4j5i7e11c11b12d12k10f9f3h7d2h1b2a3d2c10g2g3i7h10m12e4a13e11f9g9h1d2e8h10h1f1e3j8g6i6j11h3c4h4f13j1g3f2i12a2d4d12m2b3b1j,black
12l6h5m6c4c8f4i9c10e13l8m5l3m3l2j13k9d10c7g8e12b5g11d12c6g10d4l2m9e4e2k6d6f4j5i7e11c11b12d12k10f9f3h7d2h1b2a3d2c10g2g3i7h10m12e4a13e11f9g9h1d2e8h10h1f1e3j8g6i6j11h3c4h4f13j1g3f2i12a2d4d12m2b3b1j,black
12l6h5m6c4c8f4i9c10e13l8m5l3m3l2j13k9d10c7g8e12b5g11d12c6g10d4l2m9e4e2k6d6f4j5i7e11c11b12d12k10f9f3h7d2h1b2a3d2c10g2g3i7h10m12e4a13e11f9g9h1d2e8h10h1f1e3j8g6i6j11h3c4h4f13j1g3f2i12a2d4d12m2b3b1j,black
12l6h5m6c4c8f4i9c10e13l8m5l3m3l2j13k9d10c7g8e12b5g11d12c6g10d4l2m9e4e2k6d6f4j5i7e11c11b12d12k10f9f3h7d2h1b2a3d2c10g2g3i7h10m12e4a13e11f9g9h1d2e8h10h1f1e3j8g6i6j11h3c4h4f13j1g3f2i12a2d4d12m2b3b1j,black
10g4e3l13k6i9k5j4j9f2k5e1m3b4b10f3d9h6h8h5h8g4g5d6d6e4i1f13g2a1b10c8e11g7e1d7g13l5k3m4m2l6g4k3g6c12b11b10b9c5m10d8b9e7c2m1a2b3a11d7d12e11e7i11f5g6f13e12d2d13c10i2f13m2e12m12l1h8j2i3j11m13j1g1k11l12h13h8f7f7h7m7l3e6m3k7k4l3i1c1l5l5a6j7j5c3f9b5f9j12j11i10k2j1j5i4a6a2h2g1i12k10j9i9g3h6k8k10m11j4h8i3c,white
10g4e3l13k6i9k5j4j9f2k5e1m3b4b10f3d9h6h8h5h8g4g5d6d6e4i1f13g2a1b10c8e11g7e1d7g13l5k3m4m2l6g4k3g6c12b11b10b9c5m10d8b9e7c2m1a2b3a5c2d11d2c12e12f11e1h7i13a12j11l11m6j5g6f13j12k10i13m12l10j10m8k8m7k3i7f13e13c1i1j6m4h1e2h6k10k10l6l3k7m2f2i1l,black
10g4e3l13k6i9k5j4j9f2k5e1m3b4b10f3d9h6h8h5h8g4g5d6d6e4i1f13g2a1b10c8e11g7e1d7g13l5k3m4m2l6g4k3g6c12b11b10b9c5m10d8b9e7c2m1a2b3a11d7d12e11e7i11f5g6f13e12d13m13c12m12l10i8j11m13j2d9g3i3k1h8f7f4h1c4a11l5a6a12i13i12h5c8k8m6m7m5l9j1g3h2f7h2e7k2i2c3f1e2h3e4d4c5b1j6b9d6l4l6k3j12g11j12k12j11i9i13h11a11k1l7j6j8c9b10a7b8a9m13a13d5f3c7a10m10l9l7l12c13b12a9a8l1k8i1i4f13f2j12f8d5i11c10j,white
10g4e3l13k6i9k5j4j9f2k5e1m3b4b10f3d9h6h8h5h8g4g5d6d6e4i1f13g2a1b10c8e11g7e1d7g13l5k3m4m2l6g4k3g6c12b11b10b9c5m10d8b9e7c2m1a2b3a5c2d11d2c12e12f11e1h7i13a12j11l11m6j5g6f13j12k10i13m12l10j10m8k8m7k3i7f13e13c1i1j6m4h1e2h6k10k10l6l3k7m2f2i1l,black
10g4e3l13k6i9k5j4j9f2k5e1m3b4b10f3d9h6h8h5h8g4g5d6d6e4i1f13g2a1b10c8e11g7e1d7g13l5k3m4m2l6g4k3g6c12b11b10b9c5m10d8b9e7c2m1a2b3a11d7d12e11e7i11f5g6f13e12d13m13c12m12l10i8j11m13j2d9g3i3k1h8f7f4h1c4a2i1g1e5a2f2h6a7k9m12h13h7m5c8m8a3f10m8i13i6l7l5f5i8k7j6j3j2e7h4c3e10j1j13a8l11i9i11j12j10h9j10k13d13b12c2g11a12f12k10l2c11l11k12i4d8c9b12a7b9a8d10a3h9d13f4f1l4l1k6m1i5l9l6k5b2j12g,black
12l6a3m5m5d4k8m4a9e8a4i10m2l5a4h10b11d3a12e9k10f7a12b11a10c12a9f2a13d11m8g3k2j7l6l10a7g6c7f9a6f8i8e8l5g9h1m2m4c1a5e8f3g4m4g4l3f12g6m8h1h11b6h12i8d8c9i10d11c12c5i12j10l6e12m11k1i12h13j6g3l1k2k11f7m9d13e7c11e10e13b5h10j11g9c11l10k6k6i10h13l8k11i5k7k9m10i11h9j6d9l2c1c3d1f2b2e7e1d1b1g3c4b3b2f,black
12l6a3m5m5d4k8m4a9e8a4i10m2l5a4h10b11d3a12e9k10f7a12b11a10c12a9f2a13d11m8g2k2i7l2j10a3j7c6h6g7h9a5i10h3h10i3l11h3k4e2g11k5g1a11i12h6f7d5e6e4c6m8e7j5k7f5l13k12k13g8h12f10l8k6l6i9h8l8i10g12d8f12i11b11f11c10d2d1d1b13e1e2b2e9i10k13a6k1i,black
12l6a3m5m5d4k8m4a9e8a4i10m2l5a4h10b11d3a12e9k10f7a12b11a10c12a9f2a13d11m8g3k2j7l6l10a7g6c7f9a6f8i8e8l5g9h1m2m4c1a5e8f3g4m4g4l3f12g6m8h1h11b6h12i8d6e9i10h1i11k10l12k10j10g10i11g7m12j9l12h11j11h13j13l9c8c7d2d1d5i6i6g3j6k3l8k5l11l5h9m5k2k7i7j13e11c10d7c3b1c1b3d4d2c13a7k1e13b1f9d12c11e5j1k13h2h2g,black
12l6a3m5m5d4k8m4a9e8a4i10m2l5a4h10b11d3a12e9k10f7a12b11a10c12a9f2a13d11m8g3k2j7l6l10a7g6c7f9a6f8i8e8l5g9h1m2m4c1a5e8f3g4m4g4l3f12g6m8h1h11b6h12i8d9d11c4d10d3c4b11h3d13g3e4j9i11g11e1c2c8c1f13f1i12c13b11l10l11f10j10g4e6e9c7c7d12h12k13c5l13h2e,black
12l6a3m5m5d4k8m4a9e8a4i10m2l5a4h10b11d3a12e9k10f7a12b11a10c12a9f2a13d11m8g1l6h7g7h7l5i10a3j7c5l9a4g4e3f1a4c6k6l8l5k11b3h4m2k11h6f7k8e6i2i8d1i6e9g12c7e2c1c6c1g6g5f13k7d11k10l10h12j12h9l8k10j10i13j13g11i13i8f13l12m13m1f8h8c7j11c1j8i11f9i12k1e6d10g2d5c4d3c2m3l7i3b4j1d10e11e,black
